,period,post.treat,unit_id,gain_rate_fol,gain_rate_non,ts
0,543.0,0,1562,0.0,0.0,0
1,534.0,0,1562,0.0,0.0,0
2,525.0,0,1562,0.0,4.2779577371999227e-07,0
3,539.0,0,1562,0.0,8.555915474399845e-07,0
4,533.0,0,1562,0.0,4.2779577371999227e-07,0
5,545.0,0,1562,0.0,4.2779577371999227e-07,0
6,548.0,0,1562,0.0,4.2779577371999227e-07,0
7,528.0,0,1562,1.7178470566408532e-06,4.2779577371999227e-07,0
8,538.0,0,1562,1.7178470566408532e-06,0.0,0
9,544.0,0,1562,0.0,0.0,0
10,532.0,0,1562,3.4356941132817063e-06,0.0,0
11,523.0,0,1562,0.0,4.2779577371999227e-07,0
12,550.0,0,1562,1.7178470566408532e-06,8.555915474399845e-07,0
13,527.0,0,1562,0.0,0.0,0
14,541.0,0,1563,1.7178470566408533e-05,3.122909148155944e-05,0
15,526.0,0,1563,0.0,1.711183094879969e-06,0
16,549.0,0,1563,5.153541169922559e-06,6.416936605799884e-06,0
17,543.0,0,1563,1.7178470566408533e-05,1.4117260532759744e-05,0
18,540.0,0,1563,2.9203399962894504e-05,4.064059850339926e-05,0
19,537.0,0,1563,5.325325875586645e-05,4.491855624059919e-05,0
20,523.0,0,1563,3.4356941132817063e-06,8.555915474399845e-07,0
21,533.0,0,1563,2.5767705849612797e-05,6.416936605799884e-06,0
22,529.0,0,1563,0.0001150957527949,2.7378929518079505e-05,0
23,545.0,0,1563,1.0307082339845118e-05,1.2833873211599767e-05,0
24,542.0,0,1563,2.9203399962894504e-05,1.7539626722519682e-05,0
25,550.0,0,1563,3.4356941132817063e-06,8.128119700679853e-06,0
26,530.0,0,1563,0.0001150957527949,2.7806725291799497e-05,0
27,534.0,0,1563,3.6074788189457915e-05,5.133549284639907e-06,0
28,533.0,0,1564,0.0,1.2833873211599767e-06,0
29,544.0,0,1564,1.7178470566408533e-05,4.705753510919915e-06,0
30,530.0,0,1564,0.0,0.0,0
31,540.0,0,1564,2.748555290625365e-05,1.7539626722519682e-05,0
32,528.0,0,1564,0.0,4.2779577371999227e-07,0
33,527.0,0,1564,0.0,0.0,0
34,545.0,0,1564,4.809971758594389e-05,2.181758445971961e-05,0
35,534.0,0,1564,0.0,4.2779577371999227e-07,0
36,542.0,0,1564,5.153541169922559e-06,4.705753510919915e-06,0
37,538.0,0,1564,0.0,4.705753510919915e-06,0
38,526.0,0,1564,0.0,0.0,0
39,537.0,0,1564,0.0,4.705753510919915e-06,0
40,532.0,0,1564,1.7178470566408532e-06,0.0,0
41,550.0,0,1564,3.4356941132817063e-06,8.555915474399845e-07,0
42,640.0,0,1565,6.871388226563413e-06,1.2833873211599767e-06,0
43,648.0,0,1565,3.4356941132817063e-06,8.555915474399845e-07,0
44,660.0,0,1565,5.153541169922559e-06,0.0,0
45,650.0,0,1565,2.5767705849612797e-05,8.128119700679853e-06,0
46,651.0,0,1565,0.0,8.555915474399845e-07,0
47,643.0,0,1565,1.7178470566408533e-05,8.555915474399845e-07,0
48,655.0,0,1565,1.7178470566408532e-06,8.555915474399845e-07,0
49,666.0,0,1565,0.0,4.2779577371999227e-07,0
50,664.0,0,1565,1.7178470566408532e-06,1.2833873211599767e-06,0
51,663.0,0,1565,0.0,1.711183094879969e-06,0
52,652.0,0,1565,6.871388226563413e-06,1.711183094879969e-06,0
53,665.0,0,1565,5.153541169922559e-06,1.711183094879969e-06,0
54,644.0,0,1565,3.4356941132817063e-06,4.2779577371999227e-07,0
55,658.0,0,1565,5.153541169922559e-06,8.555915474399845e-07,0
56,652.0,0,1566,3.4356941132817063e-06,4.2779577371999227e-07,0
57,650.0,0,1566,5.153541169922559e-06,0.0,0
58,644.0,0,1566,6.871388226563413e-06,0.0,0
59,655.0,0,1566,5.153541169922559e-06,4.2779577371999227e-07,0
60,640.0,0,1566,1.7178470566408532e-06,0.0,0
61,657.0,0,1566,0.0,8.555915474399845e-07,0
62,643.0,0,1566,3.4356941132817063e-06,0.0,0
63,663.0,0,1566,0.0,8.555915474399845e-07,0
64,641.0,0,1566,1.7178470566408532e-06,8.555915474399845e-07,0
65,664.0,0,1566,0.0,8.555915474399845e-07,0
66,647.0,0,1566,3.4356941132817063e-06,0.0,0
67,661.0,0,1566,0.0,0.0,0
68,659.0,0,1566,0.0,0.0,0
69,649.0,0,1566,1.7178470566408532e-06,4.2779577371999227e-07,0
70,661.0,0,1567,1.2024929396485972e-05,1.9250809817399652e-05,0
71,643.0,0,1567,8.07388116621201e-05,8.427576742283848e-05,0
72,654.0,0,1567,0.0002095773409101,2.994570416039946e-05,0
73,646.0,0,1567,7.214957637891583e-05,4.1923985824559245e-05,0
74,644.0,0,1567,2.748555290625365e-05,3.679043653991934e-05,0
75,666.0,0,1567,6.871388226563413e-06,1.2406077437879776e-05,0
76,650.0,0,1567,3.092124701953536e-05,2.0106401364839636e-05,0
77,653.0,0,1567,3.4356941132817065e-05,2.9090112612959476e-05,0
78,640.0,0,1567,1.8896317623049383e-05,2.6095542196919527e-05,0
79,663.0,0,1567,4.9817564642584744e-05,3.165688725527943e-05,0
80,641.0,0,1567,7.386742343555668e-05,2.866231683923948e-05,0
81,660.0,0,1567,3.951048230273962e-05,4.021280272967927e-05,0
82,656.0,0,1567,4.638187052930304e-05,4.491855624059919e-05,0
83,658.0,0,1567,3.263909407617621e-05,2.0106401364839636e-05,0
84,565.0,0,1568,1.7178470566408532e-06,6.416936605799884e-06,0
85,546.0,0,1568,0.0,0.0,0
86,562.0,0,1568,1.7178470566408532e-06,4.2779577371999225e-06,0
87,550.0,0,1568,0.0,4.2779577371999227e-07,0
88,558.0,0,1568,1.7178470566408532e-06,4.2779577371999227e-07,0
89,540.0,0,1568,0.0,0.0,0
90,563.0,0,1568,1.7178470566408532e-06,7.272528153239869e-06,0
91,557.0,0,1568,0.0,8.555915474399845e-07,0
92,553.0,0,1568,1.7178470566408532e-06,0.0,0
93,555.0,0,1568,0.0,0.0,0
94,545.0,0,1568,0.0,0.0,0
95,552.0,0,1568,3.4356941132817063e-06,8.555915474399845e-07,0
96,544.0,0,1568,0.0,0.0,0
97,538.0,0,1568,0.0,0.0,0
98,561.0,0,1569,1.7178470566408532e-06,3.422366189759938e-06,0
99,538.0,0,1569,1.7178470566408532e-06,8.555915474399845e-07,0
100,556.0,0,1569,0.0,0.0,0
101,564.0,0,1569,1.7178470566408533e-05,4.705753510919915e-05,0
102,559.0,0,1569,0.0,7.272528153239869e-06,0
103,555.0,0,1569,1.7178470566408532e-06,4.2779577371999227e-07,0
104,551.0,0,1569,0.0,0.0,0
105,545.0,0,1569,1.7178470566408532e-06,4.2779577371999227e-07,0
106,557.0,0,1569,0.0,7.700323926959862e-06,0
107,554.0,0,1569,0.0,0.0,0
108,548.0,0,1569,0.0,0.0,0
109,553.0,0,1569,0.0,4.2779577371999227e-07,0
110,550.0,0,1569,0.0,0.0,0
111,565.0,0,1569,1.0307082339845118e-05,4.7485330882919144e-05,0
112,562.0,0,1570,2.9203399962894504e-05,0.0001454505630647,0
113,552.0,0,1570,1.7178470566408532e-06,8.555915474399845e-07,0
