"","term","estimate","std.error","statistic","p.value"
"1","ts::-13:treat",0.189664559668038,0.105049519973592,1.80547764250343,0.0709999710119531
"2","ts::-12:treat",0.258589282318338,0.0905350346676974,2.85623442093408,0.00428698484999301
"3","ts::-11:treat",0.617760298768048,0.251053114880961,2.46067569829183,0.0138675653011001
"4","ts::-10:treat",1.07167769093959,0.28348996452296,3.78030203906141,0.000156638220892902
"5","ts::-9:treat",0.717089993002866,0.201663849049076,3.55586782848897,0.000376733451312854
"6","ts::-8:treat",0.723270261215369,0.170785313212212,4.2349675602179,2.28584702025066e-05
"7","ts::-7:treat",0.366513987372757,0.184796897250319,1.98333409719694,0.047330123140843
"8","ts::-6:treat",0.520594099625221,0.175907369333573,2.95947862558286,0.00308160078253161
"9","ts::-5:treat",0.999479869816388,0.193840681987842,5.15619249564483,2.5202181687985e-07
"10","ts::-4:treat",0.974363270337374,0.162956469711766,5.97928558504495,2.24118343357638e-09
"11","ts::-3:treat",1.16524198746975,0.254936577830127,4.57071322360885,4.86067072703398e-06
"12","ts::-2:treat",0.970224789620397,0.173647204227124,5.5873332020444,2.30583048653253e-08
"13","ts::-1:treat",1.61167003257557,0.233774653091497,6.89411795189266,5.42000395772316e-12
"14","ts::0:treat",3.13667424014116,0.254090814658521,12.3446974828925,5.20294384737593e-35
"15","ts::1:treat",1.95706383711051,0.345836901771464,5.65892137908342,1.52327312830083e-08
"16","ts::2:treat",1.28466159191697,0.21541379635471,5.96369226881638,2.4660097026677e-09
"17","ts::3:treat",0.915468797561828,0.197258222845576,4.64096646697716,3.46783403365125e-06
"18","ts::4:treat",0.939178528428403,0.208047901452704,4.51424177735294,6.35436922065566e-06
"19","ts::5:treat",0.959409567495703,0.208668962048504,4.59775885247704,4.27059876534437e-06
"20","ts::6:treat",0.785606022951742,0.213045374048177,3.68750566146576,0.000226463056657488
"21","ts::7:treat",0.676308318008358,0.178609976072496,3.78650920222873,0.000152778440727441
"22","ts::8:treat",0.920156925526517,0.224662010972426,4.09573884584987,4.20824108496115e-05
"23","ts::9:treat",0.858320063955794,0.249979099992649,3.4335673021506,0.000595694297308666
"24","ts::10:treat",0.743795401806065,0.270017085755933,2.75462347030283,0.00587597144401278
"25","ts::11:treat",1.03200520459167,0.346107978210702,2.98174347186936,0.00286612046591914
"26","ts::12:treat",0.558741671721266,0.225166459915089,2.4814604800909,0.0130845218722616
"27","ts::13:treat",0.629389186389556,0.293906520392702,2.14146043969559,0.0322369254378046
