"","term","estimate","std.error","statistic","p.value"
"1","ts::-13:treat",-0.0338232509345407,0.131921588712757,-0.25638905098533,0.797650441428265
"2","ts::-12:treat",-0.350206520515403,0.145487732195822,-2.40712062267928,0.0160788581937296
"3","ts::-11:treat",-0.0588601346279058,0.185066548156701,-0.318048481555226,0.750448161758812
"4","ts::-10:treat",0.00124777041705081,0.160649001561987,0.00776705989404709,0.993802845137292
"5","ts::-9:treat",0.327395828395303,0.225687648815696,1.45065904188078,0.146874825850756
"6","ts::-8:treat",0.137557737360273,0.175758159279141,0.782653493439256,0.433830619279216
"7","ts::-7:treat",0.118989316749504,0.157362463436605,0.756148030165025,0.449560447716756
"8","ts::-6:treat",0.0553096358227434,0.167103094182242,0.330991093213528,0.74065121331798
"9","ts::-5:treat",0.25720951463953,0.3066583671535,0.838749377775113,0.401609963185528
"10","ts::-4:treat",0.176498333833449,0.282121164113418,0.625611816072377,0.531569586575923
"11","ts::-3:treat",0.173480903942293,0.204762859374564,0.847228371747595,0.396867842363299
"12","ts::-2:treat",0.0625625916533007,0.170391484004862,0.36716970932371,0.713492432232804
"13","ts::-1:treat",0.602752539869261,0.211101356929296,2.85527553511246,0.00429995061836327
"14","ts::0:treat",0.907830251064837,0.301307901774204,3.01296529470094,0.00258708501759382
"15","ts::1:treat",0.21147349186211,0.22926285602572,0.922406252491187,0.356316709619234
"16","ts::2:treat",-0.014497686614876,0.258668102851629,-0.0560474463416612,0.955304009822349
"17","ts::3:treat",0.107909693592611,0.246237825206441,0.43823362029023,0.661216939355603
"18","ts::4:treat",-0.105102420584777,0.250847742786937,-0.418988903057613,0.675224242369707
"19","ts::5:treat",-0.00252594597395761,0.285723253389292,-0.00884053343224416,0.992946366744759
"20","ts::6:treat",0.0235395265235064,0.294448549688469,0.0799444471654268,0.936281439206701
"21","ts::7:treat",0.228662575813352,0.299971688929241,0.762280522637221,0.445892596120752
"22","ts::8:treat",0.0173331258643727,0.333602515058918,0.0519574196294996,0.958562621771097
"23","ts::9:treat",-0.120797253601801,0.332127426458778,-0.363707553121313,0.71607640253495
"24","ts::10:treat",-0.0378489072304247,0.330202568726471,-0.114623297378942,0.908743712779472
"25","ts::11:treat",-0.318898965359042,0.325331805208119,-0.980226833816748,0.32697416162316
"26","ts::12:treat",-0.46802682132803,0.322173811317143,-1.45271528872752,0.146302820291388
"27","ts::13:treat",-0.129082309871721,0.439572268871188,-0.293654352225634,0.769022038732313
