"","term","estimate","std.error","statistic","p.value"
"1","ts::-13:treat",0.151039273633329,0.176177371746076,0.857313695489915,0.391271541593977
"2","ts::-12:treat",0.588105151064291,0.273691556008581,2.14878807238705,0.0316512033353976
"3","ts::-11:treat",0.232732233704896,0.200597244868554,1.1601965613107,0.245968786708399
"4","ts::-10:treat",-0.023860658691769,0.160364798408338,-0.148789877383267,0.881719438403175
"5","ts::-9:treat",-0.0787529101185384,0.16277146111111,-0.483825048819709,0.628510036433244
"6","ts::-8:treat",-0.12484252024612,0.174306469895028,-0.716224247564093,0.473852893133981
"7","ts::-7:treat",-0.131553021058488,0.16813902575935,-0.782406228800053,0.433975874353717
"8","ts::-6:treat",-0.222814936140569,0.204345537678485,-1.09038317485133,0.275544390202013
"9","ts::-5:treat",-0.282955505060414,0.216029479728658,-1.30980042823701,0.190263358250729
"10","ts::-4:treat",-0.387645358050081,0.231391495204519,-1.67527919601131,0.0938794652870001
"11","ts::-3:treat",-0.311051135821826,0.227628236145283,-1.36648748454607,0.171786006477558
"12","ts::-2:treat",-0.224629126337826,0.223815333318596,-1.00363600208781,0.31555409471346
"13","ts::-1:treat",0.247412825109212,0.309702086745215,0.798873613379147,0.424363700531639
"14","ts::0:treat",0.724808096458069,0.29542019584393,2.45348187650983,0.0141480668582048
"15","ts::1:treat",0.26173176161514,0.24277738418951,1.07807307706567,0.281001145388827
"16","ts::2:treat",-0.189878379927994,0.216752879154322,-0.876013184548314,0.381022866252401
"17","ts::3:treat",-0.199650790778413,0.212686533128016,-0.938709131425088,0.347880103851087
"18","ts::4:treat",-0.237036942053347,0.238205754216502,-0.995093266462016,0.319690905273325
"19","ts::5:treat",-0.370341711274089,0.219800103326635,-1.68490235295177,0.0920074125480357
"20","ts::6:treat",-0.321871518799973,0.226937346627374,-1.41832767318144,0.156095120956689
"21","ts::7:treat",-0.140776029084727,0.254732884524132,-0.552641757846507,0.580508742155893
"22","ts::8:treat",-0.421126519591337,0.231718351444038,-1.81740685175314,0.0691548393836773
"23","ts::9:treat",-0.00935426231511921,0.282863490890053,-0.033069882174208,0.973618860150889
"24","ts::10:treat",-0.277226595698844,0.227832287611598,-1.21680117688785,0.223679872155695
"25","ts::11:treat",-0.419407376923073,0.208380822788772,-2.01269661627265,0.0441465555843811
"26","ts::12:treat",-0.52715917817223,0.229915619072737,-2.29283760841605,0.0218573559308374
"27","ts::13:treat",-0.337949923889684,0.220774123955949,-1.53074969943993,0.125831265544665
