"","term","estimate","std.error","statistic","p.value"
"1","ts::-13:treat",0.0959484071737462,0.307396892175045,0.312132001383765,0.754940207007226
"2","ts::-12:treat",-0.195876756172421,0.20406638092403,-0.959867839501411,0.337121734036341
"3","ts::-11:treat",0.236180458808535,0.245568927526168,0.961768498921214,0.336165905036451
"4","ts::-10:treat",0.123418524914819,0.186286389460331,0.662520355203409,0.507637793996491
"5","ts::-9:treat",-0.171182924866427,0.208962507382648,-0.819204014206053,0.412670025029805
"6","ts::-8:treat",-0.185988838972321,0.196796014359681,-0.945084378753687,0.34461579977089
"7","ts::-7:treat",-0.227473529108983,0.208383373626432,-1.09161074202001,0.275004232544277
"8","ts::-6:treat",-0.289214754041979,0.26770345213308,-1.08035496642832,0.279984141441543
"9","ts::-5:treat",0.0701800897050404,0.258563170111362,0.27142338050239,0.786065421701864
"10","ts::-4:treat",0.412052866879217,0.280436606653392,1.46932624737004,0.141744320913535
"11","ts::-3:treat",0.262839035928053,0.278271053035008,0.944543218065108,0.344892127709944
"12","ts::-2:treat",0.453172906495832,0.239173742546173,1.89474355199482,0.0581263848291903
"13","ts::-1:treat",0.365112764092609,0.335582836141464,1.0879959424942,0.276596898772587
"14","ts::0:treat",1.57554686948383,0.26325223763941,5.98493248760883,2.16479635017976e-09
"15","ts::1:treat",0.968216071975052,0.284640104778,3.40154481298478,0.000670061417165464
"16","ts::2:treat",0.717758527944165,0.212358907392804,3.3799313471533,0.000725039378722815
"17","ts::3:treat",0.347088167617555,0.184970861049989,1.87644781263008,0.0605938144285423
"18","ts::4:treat",0.258751606862879,0.196751315823834,1.31512008333687,0.188469547965928
"19","ts::5:treat",0.380035475134302,0.17616675052433,2.15724859545397,0.0309862999160599
"20","ts::6:treat",0.451078102233206,0.211065907357587,2.13714335905984,0.0325863332619235
"21","ts::7:treat",0.536336704856529,0.213800204292026,2.50858836469565,0.0121214646291263
"22","ts::8:treat",0.535655281253595,0.214116155536713,2.50170417972851,0.0123597150165581
"23","ts::9:treat",0.372633652128201,0.209491617289413,1.77875209017747,0.0752804150058454
"24","ts::10:treat",0.565932099763006,0.240508419712978,2.35306564501313,0.0186193467178016
"25","ts::11:treat",0.682652196518534,0.255911573862784,2.66753154698882,0.00764107152377966
"26","ts::12:treat",0.487656987585855,0.205711746478454,2.37058406208676,0.0177600048038713
"27","ts::13:treat",0.703933789894529,0.219980627872393,3.19998081968776,0.00137436733375057
