"","term","estimate","std.error","statistic","p.value"
"1","ts::-13:treat",0.135190396918231,12.5562496941259,0.01076678150017,0.991409870492174
"2","ts::-12:treat",-2.25072865604292,14.6602015687942,-0.153526446787323,0.877988231076302
"3","ts::-11:treat",3.54206759856202,21.6543705795032,0.163572872532012,0.87007283831906
"4","ts::-10:treat",30.1099281899869,31.4835114554556,0.956371344809739,0.338922680912223
"5","ts::-9:treat",0.595482558032053,20.1816674779031,0.0295061128464259,0.976461912149563
"6","ts::-8:treat",-1.47727612877132,21.9260190941375,-0.0673754830928844,0.946285001879318
"7","ts::-7:treat",11.5482439900898,24.9472529262831,0.462906438003969,0.643447999778569
"8","ts::-6:treat",3.83439436351873,27.0031777794481,0.141997893538184,0.887086374334606
"9","ts::-5:treat",2.05823219263355,31.8381206079564,0.0646467867239373,0.948457357464843
"10","ts::-4:treat",17.7067607168174,29.8719398785003,0.592755635852141,0.553366747032254
"11","ts::-3:treat",44.7563787849931,43.5229179302412,1.02834049078991,0.303830598100324
"12","ts::-2:treat",36.9669843129603,34.9628746504204,1.05732107793133,0.290407083701453
"13","ts::-1:treat",33.6266425258339,36.2339431456638,0.928042592291202,0.353422315964416
"14","ts::0:treat",100.615379275706,37.3874313782212,2.69115517078062,0.00713998631700779
"15","ts::1:treat",55.9158670606942,42.1594560306888,1.32629479422106,0.184791888287596
"16","ts::2:treat",54.8292865840953,37.230362397708,1.47270354229673,0.140882753860162
"17","ts::3:treat",57.0350009976256,40.2100319017287,1.4184271511402,0.15611734715818
"18","ts::4:treat",34.5653939109902,34.6443286392319,0.997721568541169,0.318454096820752
"19","ts::5:treat",23.4502453498808,35.2103742324414,0.666003865652605,0.505433896767251
"20","ts::6:treat",1.06738758078667,28.8195018054826,0.037036989327262,0.970456728651611
"21","ts::7:treat",-6.30960156533664,27.6490133384952,-0.228203498189641,0.819495716146339
"22","ts::8:treat",-19.006902809766,26.9827951381878,-0.704408224293493,0.481205564849189
"23","ts::9:treat",-28.0222357074147,26.8821181723925,-1.0424117447781,0.297262269757678
"24","ts::10:treat",-27.438434370527,28.6233329410321,-0.958603752646619,0.337796517970485
"25","ts::11:treat",-31.2919022221708,26.8269548047187,-1.16643511907907,0.243484316362867
"26","ts::12:treat",-38.3076208905231,28.5324599877136,-1.34259790102287,0.179452333461121
"27","ts::13:treat",-51.064194317072,26.3636705393991,-1.93691520460929,0.0528019791784891
