"","term","estimate","std.error","statistic","p.value"
"1","ts::-13:treat",-0.0866677321127036,0.0821024897125359,-1.05560418954592,0.291149086041964
"2","ts::-12:treat",-0.0682717159874324,0.0675241934007287,-1.01107044081619,0.311982716728305
"3","ts::-11:treat",-0.0925957604726396,0.0937100420914947,-0.988109261355713,0.323099140504254
"4","ts::-10:treat",0.0447329484473732,0.105321664517746,0.424726941529073,0.671035741473671
"5","ts::-9:treat",-0.10112435890423,0.0947704947722727,-1.06704475002716,0.285951628875666
"6","ts::-8:treat",0.0172419298927693,0.0847949067415454,0.203336857782303,0.838871748877831
"7","ts::-7:treat",0.24401536679539,0.105072325247289,2.32235620769881,0.0202137633191188
"8","ts::-6:treat",0.136361930151385,0.109269985493291,1.24793583101333,0.212054557576989
"9","ts::-5:treat",0.157367766597928,0.111596702770613,1.41014709835466,0.158496252648938
"10","ts::-4:treat",0.349680010922877,0.11023228625246,3.17221045494801,0.00151283331652012
"11","ts::-3:treat",0.421948198699743,0.123390737604213,3.41960998768952,0.000627109751589365
"12","ts::-2:treat",0.503628481788057,0.126444173700643,3.98301058125779,6.80477246094988e-05
"13","ts::-1:treat",0.53288688127698,0.130639008443453,4.07907934717402,4.52144038318262e-05
"14","ts::0:treat",0.649321913138283,0.123399695760204,5.26194095648402,1.42542545867512e-07
"15","ts::1:treat",0.0809166897776999,0.122393391976097,0.661119758765263,0.508535514843904
"16","ts::2:treat",0.0390023201022627,0.130070984143158,0.299854117036097,0.764288434026558
"17","ts::3:treat",0.0813398988790197,0.137913391324144,0.589789708584883,0.55533164316856
"18","ts::4:treat",-0.104085799907578,0.126859111612819,-0.820483436974192,0.411940567571076
"19","ts::5:treat",-0.154936454149624,0.126720549458173,-1.2226624238302,0.221457225033632
"20","ts::6:treat",-0.0326428811086187,0.134578616837812,-0.242556223831297,0.808349196850221
"21","ts::7:treat",-0.0772116774952666,0.129539060405741,-0.596049386597561,0.551142234721726
"22","ts::8:treat",-0.181195063889358,0.131933413465383,-1.37338267183469,0.169633413828928
"23","ts::9:treat",-0.20944693310302,0.166096274259209,-1.26099717791477,0.20730986391342
"24","ts::10:treat",-0.109261607988834,0.149137527590976,-0.732623168385187,0.463788296348254
"25","ts::11:treat",-0.222046455205456,0.150171106404364,-1.47862302224473,0.139241096138982
"26","ts::12:treat",-0.242030412274183,0.152363990181885,-1.58850140367982,0.112173003895634
"27","ts::13:treat",-0.194053648791607,0.147217241332262,-1.31814485202611,0.187455162454499
