"","term","estimate","std.error","statistic","p.value"
"1","ts::-13:treat",0.153473557219658,0.157095857842472,0.976942099730937,0.328597817871606
"2","ts::-12:treat",0.0648762086236423,0.275040523546528,0.235878727203875,0.813526775767063
"3","ts::-11:treat",0.274362925268321,0.362138930197448,0.757617870905874,0.448679778543328
"4","ts::-10:treat",-0.125005782875657,0.189841249505554,-0.658475348225098,0.510232732537299
"5","ts::-9:treat",-0.269229421421275,0.198084573094976,-1.35916400361066,0.174094625018385
"6","ts::-8:treat",0.00698011400012254,0.21430789747949,0.0325704935852425,0.974017100048973
"7","ts::-7:treat",-0.0385561356900078,0.244403502518791,-0.157756068520513,0.87464901731666
"8","ts::-6:treat",-0.350950011883924,0.282495336876596,-1.24232143356487,0.214117990340738
"9","ts::-5:treat",0.117113483898295,0.269002923477302,0.435361379662393,0.663300138522146
"10","ts::-4:treat",0.168873110071124,0.253180696942793,0.667006261181442,0.504768134075406
"11","ts::-3:treat",0.30773211627484,0.250358111680816,1.2291677477867,0.219008918567738
"12","ts::-2:treat",0.51608661828856,0.258861079783578,1.99368177989537,0.0461868417771265
"13","ts::-1:treat",0.634551725703284,0.272251808654749,2.33075302176588,0.0197663865789903
"14","ts::0:treat",0.779969912558513,0.292293548619017,2.66844723820827,0.00762027461471972
"15","ts::1:treat",0.151646944880935,0.292006726734172,0.519326888722622,0.603532805654091
"16","ts::2:treat",-0.288927158706953,0.26141164402641,-1.10525741798159,0.269048063427687
"17","ts::3:treat",-0.270021928074775,0.253380298590013,-1.06567846662652,0.286569014979527
"18","ts::4:treat",-0.332965616207977,0.248041164150111,-1.34238047684081,0.179472661593482
"19","ts::5:treat",-0.403320631764294,0.239794513548402,-1.68194270084034,0.0925799514162241
"20","ts::6:treat",-0.36335018475003,0.26035658707349,-1.39558667915503,0.162838996092142
"21","ts::7:treat",-0.432422083197183,0.260289973832069,-1.66130902712437,0.0966513979497297
"22","ts::8:treat",-0.55510510566969,0.249288959676365,-2.2267536692774,0.025963741368791
"23","ts::9:treat",-0.588898348478195,0.238043486850014,-2.47391078105509,0.0133643066868745
"24","ts::10:treat",-0.552260624065145,0.233410572177543,-2.36604802821472,0.0179791118633769
"25","ts::11:treat",-0.255078676845837,0.279298966815402,-0.913281849031783,0.361094326076531
"26","ts::12:treat",-0.314588565088871,0.237824139814788,-1.32277810542641,0.185909180382565
"27","ts::13:treat",-0.648637474033198,0.255750927575084,-2.53620770873947,0.0112060246253426
