"","term","estimate","std.error","statistic","p.value"
"1","ts::-13:treat",0.146054240271977,0.129055461024701,1.13171685345436,0.257753493692289
"2","ts::-12:treat",-0.0425008995910261,0.123755434166545,-0.343426532153975,0.731277602134577
"3","ts::-11:treat",-0.00775227446013887,0.206289703238022,-0.0375795511770847,0.970022912200391
"4","ts::-10:treat",0.0908074076349178,0.22155188033223,0.409869722156034,0.681901517145103
"5","ts::-9:treat",0.0626625132465517,0.194586628234907,0.32202887636711,0.747430818615971
"6","ts::-8:treat",0.0214351262899645,0.188557254527126,0.113679669041218,0.909491729782293
"7","ts::-7:treat",0.0533128839534382,0.122248317237175,0.436103213183749,0.662761845983264
"8","ts::-6:treat",-0.0532188537946041,0.133288610164675,-0.399275329893931,0.689690342821721
"9","ts::-5:treat",0.00168418457592152,0.170839322999538,0.00985829577377851,0.992134345411726
"10","ts::-4:treat",0.224757345512822,0.121113630612835,1.85575599026758,0.0634883461502903
"11","ts::-3:treat",0.0406524015884913,0.193456246779498,0.210137445883705,0.833560400304159
"12","ts::-2:treat",-0.0692181026746973,0.181202677746633,-0.381992714100404,0.702466768902124
"13","ts::-1:treat",0.151541783703321,0.18668128601977,0.811767408155054,0.416925106767791
"14","ts::0:treat",0.480508862682166,0.185786492766143,2.58634982300356,0.00969984291484342
"15","ts::1:treat",-0.0118137856698005,0.160998081000153,-0.0733784253601712,0.941504985374087
"16","ts::2:treat",-0.122321148425979,0.163180123521534,-0.749608137230247,0.453490748528765
"17","ts::3:treat",-0.128420329378646,0.164226082936824,-0.78197279678191,0.434230560857115
"18","ts::4:treat",-0.181906121696532,0.161913499770728,-1.1234771773454,0.261234888209042
"19","ts::5:treat",-0.114679319652273,0.134284039356269,-0.854005585488962,0.393101894594401
"20","ts::6:treat",-0.166645136938363,0.164623885298492,-1.0122779974255,0.311405151981488
"21","ts::7:treat",-0.269032469624345,0.183360529091235,-1.46723218436222,0.142312904544985
"22","ts::8:treat",-0.206754961247136,0.170709696655892,-1.21114948533886,0.22583811871759
"23","ts::9:treat",-0.167938785874069,0.183535548897345,-0.915020479046271,0.360180879231937
"24","ts::10:treat",-0.173112142476406,0.202818929065363,-0.853530502671264,0.39336517979305
"25","ts::11:treat",-0.225335934534174,0.211696627572786,-1.06442855097774,0.287134605590792
"26","ts::12:treat",-0.156080206055517,0.200448210675042,-0.778656020574546,0.436182369533788
"27","ts::13:treat",-0.0563768961153948,0.197107090817345,-0.286021653922325,0.774861536629106
