"","term","estimate","std.error","statistic","p.value"
"1","ts::-13:treat",0.142620522922089,0.135185928842639,1.05499532490622,0.291427462910211
"2","ts::-12:treat",0.227446125887439,0.166527754157037,1.3658151281675,0.171996996847626
"3","ts::-11:treat",0.963974598977445,0.262307991461346,3.67497228585007,0.000237875234552217
"4","ts::-10:treat",0.66271787864002,0.24898575548682,2.66166985072807,0.0077754100921872
"5","ts::-9:treat",0.158829679720725,0.242702820363879,0.654420412101495,0.512840987191381
"6","ts::-8:treat",0.165912618728442,0.210012130633514,0.790014454060137,0.429519327095089
"7","ts::-7:treat",0.369387975216747,0.192789791622227,1.91601418367922,0.0553632903318022
"8","ts::-6:treat",0.53043605290506,0.200997426291785,2.63901912920534,0.00831462890662981
"9","ts::-5:treat",0.51799610969878,0.174855911426964,2.96241691499886,0.00305234174644593
"10","ts::-4:treat",0.775600409100403,0.197242331419183,3.9322208550257,8.41646860689685e-05
"11","ts::-3:treat",1.03660839487183,0.187606068450702,5.52545236639949,3.28637734848878e-08
"12","ts::-2:treat",0.846264005338622,0.18928308680188,4.47089076809273,7.78944777088186e-06
"13","ts::-1:treat",1.13247949250914,0.201445570944367,5.62176416785998,1.89017184029393e-08
"14","ts::0:treat",1.02460602090828,0.195214949039539,5.24860429976989,1.53255864008779e-07
"15","ts::1:treat",0.545469358840043,0.200150346136496,2.72529810399654,0.00642434537382823
"16","ts::2:treat",0.101374827327426,0.192713343400303,0.526039481951442,0.598860775146997
"17","ts::3:treat",0.167705974218681,0.207767365331669,0.807181502980335,0.419561920860254
"18","ts::4:treat",0.304372867527884,0.256185550435608,1.18809537466239,0.234795836424918
"19","ts::5:treat",0.540535558457142,0.275976292772331,1.95863040635545,0.0501560859911496
"20","ts::6:treat",0.33849869984251,0.222307401840267,1.52266050091184,0.12784366486329
"21","ts::7:treat",0.293238073138262,0.245721769352993,1.19337441656221,0.232722769826298
"22","ts::8:treat",0.186239343738514,0.242845769949899,0.766903799794151,0.443138714304611
"23","ts::9:treat",-0.0237874855552929,0.25888398604008,-0.0918847315322551,0.926789622610516
"24","ts::10:treat",0.1381642442881,0.220165346175715,0.627547644023099,0.530300315740896
"25","ts::11:treat",0.620787609084312,0.336473993858762,1.84497946472764,0.0650405258795222
"26","ts::12:treat",0.439150489564206,0.246758471021334,1.77967746252666,0.0751287608996419
"27","ts::13:treat",-0.00957074255436396,0.224161295992419,-0.0426957852469216,0.965944039393492
