"","term","estimate","std.error","statistic","p.value"
"1","ts::-13:treat",0.0733245497776037,0.191496178220498,0.382903462925375,0.70179134365155
"2","ts::-12:treat",-0.104197232667656,0.159547671127173,-0.653078994707497,0.513705353249713
"3","ts::-11:treat",0.114469489299424,0.224472214422169,0.509949481249108,0.610086854867273
"4","ts::-10:treat",0.0220953553937261,0.136770656807409,0.161550407883463,0.871659912950857
"5","ts::-9:treat",-0.230543990562174,0.16152666398573,-1.42728132231185,0.153498822077365
"6","ts::-8:treat",-0.120739498624855,0.177669197835413,-0.679574738310601,0.496773769505771
"7","ts::-7:treat",-0.141236487662067,0.24797940282916,-0.569549269216401,0.568983444891177
"8","ts::-6:treat",-0.0944034454430439,0.269818678940329,-0.349877353983789,0.726430743091435
"9","ts::-5:treat",0.240612006425057,0.222063101360521,1.08352988385235,0.278573293871678
"10","ts::-4:treat",0.370333119688381,0.212975088820172,1.73885651012019,0.0820600056338061
"11","ts::-3:treat",0.280584540544924,0.190511975512441,1.4727921422798,0.140807091770395
"12","ts::-2:treat",0.383478239932336,0.198749317741067,1.92945688715237,0.0536741673478535
"13","ts::-1:treat",0.740468716775945,0.184034009214169,4.02354282199128,5.73291544959437e-05
"14","ts::0:treat",1.84234388220204,0.264334289492196,6.96974987899339,3.17504961314853e-12
"15","ts::1:treat",0.767931411136494,0.26270375735747,2.92318396531932,0.00346471745310008
"16","ts::2:treat",0.540065750155699,0.171412240706608,3.15068368472053,0.00162888795366833
"17","ts::3:treat",0.367412650110288,0.260414293806969,1.41087743203002,0.158280757636863
"18","ts::4:treat",0.177224210485006,0.188081943192879,0.942271264728809,0.346053776044079
"19","ts::5:treat",0.311275549358241,0.188903918587121,1.64779826531064,0.0993940751338421
"20","ts::6:treat",0.235146291201752,0.213352961801747,1.10214683319117,0.270397841635325
"21","ts::7:treat",0.364633585836772,0.217808502211147,1.67410170923121,0.0941106119223706
"22","ts::8:treat",0.334841652881257,0.218689614981518,1.53112736016091,0.12573791903371
"23","ts::9:treat",0.453677112049684,0.212714353447726,2.13279971330742,0.0329411597925502
"24","ts::10:treat",0.1924396645222,0.175571513775908,1.09607566958625,0.273045661158322
"25","ts::11:treat",0.241576129710966,0.209875489418889,1.15104498567151,0.249713728962479
"26","ts::12:treat",0.203320457021056,0.179900710891796,1.13018150964032,0.258399749406037
"27","ts::13:treat",0.338497030440516,0.208176374743134,1.62601078464442,0.103947361158323
