"","term","estimate","std.error","statistic","p.value"
"1","ts::-13:treat",0.0638646989598736,0.134367696435978,0.47529801175317,0.634574576045373
"2","ts::-12:treat",0.00611471840718083,0.139711759769885,0.0437666694432321,0.965090395544579
"3","ts::-11:treat",-0.0774139066710961,0.131584020624473,-0.588323006879592,0.556315505827885
"4","ts::-10:treat",0.0925344848803046,0.159829785711763,0.578956447124199,0.562618560882499
"5","ts::-9:treat",0.105129788697559,0.160594037612529,0.654630708963238,0.512705547433328
"6","ts::-8:treat",-0.110153491305251,0.159700228622082,-0.689751619366311,0.490350398200993
"7","ts::-7:treat",0.0324179197259541,0.169271829192263,0.191513968276039,0.848122937976801
"8","ts::-6:treat",0.00156078515159441,0.170790775195199,0.00913857993682957,0.992708569649868
"9","ts::-5:treat",0.0737311291748024,0.16628366836018,0.443405716880725,0.657472301559514
"10","ts::-4:treat",0.256233837540904,0.111729274451406,2.2933455783994,0.0218281171329185
"11","ts::-3:treat",0.30797414689041,0.134949562408001,2.28214261235834,0.0224809219036252
"12","ts::-2:treat",0.113466050865504,0.146233025205406,0.775926304650565,0.437792500136429
"13","ts::-1:treat",0.543455578922769,0.173959941191874,3.12402714785554,0.00178393996549191
"14","ts::0:treat",0.730444771808357,0.131360613111044,5.56060720568412,2.68837649382598e-08
"15","ts::1:treat",0.120369182183197,0.147457958926862,0.816294915914982,0.414331481491558
"16","ts::2:treat",0.0411415289035461,0.139372917841142,0.295190267527006,0.767848536310363
"17","ts::3:treat",-0.00507136828289904,0.152028988798294,-0.0333579031406143,0.973389179391964
"18","ts::4:treat",0.106748940251903,0.147415397009867,0.724136979020977,0.468981644131719
"19","ts::5:treat",0.127019996010371,0.145114333222852,0.875309786355195,0.381405370697836
"20","ts::6:treat",0.0584451570664481,0.155591889859949,0.375631127811711,0.707191146042308
"21","ts::7:treat",0.0848090201483484,0.155513001623375,0.545350030306411,0.585512800968824
"22","ts::8:treat",0.0502890430863404,0.153723846669648,0.327138854353621,0.743562865612458
"23","ts::9:treat",0.0307007870386125,0.108124019550992,0.283940489505516,0.776455986756009
"24","ts::10:treat",-0.00920184364732053,0.155490092185072,-0.0591796140706383,0.952809046794693
"25","ts::11:treat",0.0545101343459678,0.152225902352828,0.358087115947091,0.720278120619605
"26","ts::12:treat",-0.0192729474277362,0.143465913119353,-0.134338164437029,0.893135175883338
"27","ts::13:treat",0.00486272050568914,0.148321039843093,0.032785102577715,0.973845958247897
