,unit_id,ever_treated,ts,gain_rate,time_period
0,233,False,-14,0.0,554.0
1,233,False,-13,0.0,555.0
2,233,False,-12,0.0,556.0
3,233,False,-11,0.0,557.0
4,233,False,-10,0.0,558.0
5,233,False,-9,0.0,559.0
6,233,False,-8,0.0,560.0
7,233,False,-7,0.0,561.0
8,233,False,-6,0.0,562.0
9,233,False,-5,1.0,563.0
10,233,False,-4,3.0,564.0
11,233,False,-3,18.0,565.0
12,233,False,-2,12.0,566.0
13,233,False,-1,10.0,567.0
14,233,False,0,7.0,568.0
15,233,False,1,5.0,569.0
16,233,False,2,5.0,570.0
17,233,False,3,5.0,571.0
18,233,False,4,5.0,572.0
19,233,False,5,1.0,573.0
20,233,False,6,4.0,574.0
21,233,False,7,7.0,575.0
22,233,False,8,38.0,576.0
23,233,False,9,6.0,577.0
24,233,False,10,1.0,578.0
25,233,False,11,1.0,579.0
26,233,False,12,8.0,580.0
27,233,False,13,3.0,581.0
28,233,True,-14,0.0,554.0
29,233,True,-13,0.0,555.0
30,233,True,-12,0.0,556.0
31,233,True,-11,0.0,557.0
32,233,True,-10,0.0,558.0
33,233,True,-9,0.0,559.0
34,233,True,-8,0.0,560.0
35,233,True,-7,0.0,561.0
36,233,True,-6,0.0,562.0
37,233,True,-5,0.0,563.0
38,233,True,-4,0.0,564.0
39,233,True,-3,2.0,565.0
40,233,True,-2,3.0,566.0
41,233,True,-1,2.0,567.0
42,233,True,0,1.0,568.0
43,233,True,1,0.0,569.0
44,233,True,2,0.0,570.0
45,233,True,3,0.0,571.0
46,233,True,4,0.0,572.0
47,233,True,5,0.0,573.0
48,233,True,6,2.0,574.0
49,233,True,7,0.0,575.0
50,233,True,8,11.0,576.0
51,233,True,9,0.0,577.0
52,233,True,10,2.0,578.0
53,233,True,11,1.0,579.0
54,233,True,12,0.0,580.0
55,233,True,13,1.0,581.0
56,234,False,-14,1.0,554.0
57,234,False,-13,3.0,555.0
58,234,False,-12,1.0,556.0
59,234,False,-11,3.0,557.0
